AX,AY,AZ,GX,GY,GZ,Type
-0.59,4.03,-8.73,0.0,0.02,-0.01,0.0
-0.6,4.05,-8.72,-0.01,0.01,-0.01,0.0
-0.59,4.05,-8.74,0.0,0.02,-0.01,0.0
-0.39,5.65,-7.83,-0.01,0.01,-0.01,0.0
-0.39,5.64,-7.89,0.0,0.02,-0.01,0.0
-1.22,4.95,-8.21,0.0,0.02,-0.01,0.0
-1.19,4.96,-8.22,0.0,0.02,-0.01,0.0
-1.17,5.01,-8.16,0.0,0.03,-0.01,0.0
-1.21,4.94,-8.2,0.0,0.01,-0.01,0.0
-1.18,4.96,-8.2,0.0,0.01,-0.01,0.0
-1.22,4.94,-8.2,0.0,0.02,-0.01,0.0
-0.98,4.81,-8.34,-0.01,0.01,-0.01,0.0
-0.95,4.83,-8.25,-0.01,0.02,-0.01,0.0
-0.96,4.82,-8.32,-0.01,0.01,-0.01,0.0
-0.98,4.79,-8.33,0.0,0.02,-0.01,0.0
-0.95,4.83,-8.31,0.0,0.02,-0.01,0.0
-0.96,4.82,-8.33,-0.01,0.02,-0.01,0.0
-0.95,4.82,-8.34,0.0,0.02,-0.01,0.0
-0.96,4.81,-8.35,0.0,0.03,-0.01,0.0
-0.99,4.9,-8.37,0.0,0.0,-0.01,0.0
-0.97,4.8,-8.31,0.0,0.01,-0.01,0.0
-0.96,4.8,-8.34,0.0,0.01,-0.01,0.0
-0.95,4.81,-8.3,0.0,0.01,-0.01,0.0
-0.95,4.84,-8.28,-0.01,0.01,-0.01,0.0
-0.93,4.84,-8.31,-0.01,0.02,-0.01,0.0
-0.98,4.82,-8.32,-0.01,0.01,-0.01,0.0
-0.97,4.83,-8.31,-0.01,0.01,-0.01,0.0
-0.96,4.85,-8.3,0.0,0.02,-0.01,0.0
-0.96,4.82,-8.3,0.0,0.02,-0.01,0.0
-0.94,4.81,-8.31,0.0,0.02,-0.01,0.0
-1.24,6.08,-7.83,0.0,-0.32,-0.04,0.0
1.9,4.86,-8.1,0.0,0.02,-0.01,0.0
1.9,4.85,-8.09,0.0,0.02,-0.01,0.0
1.9,4.89,-8.09,0.0,0.02,-0.01,0.0
1.9,4.9,-8.13,0.0,0.01,-0.01,0.0
-1.93,6.63,-6.83,0.0,0.01,-0.01,0.0
-1.94,6.64,-6.8,0.0,0.01,-0.01,0.0
-2.46,7.2,-6.26,-0.13,0.15,-0.07,4.0
-3.22,8.93,-6.18,-0.68,-0.76,0.27,4.0
3.54,7.31,-5.34,0.07,-0.02,0.0,4.0
7.56,3.65,-7.97,-0.54,0.51,-0.41,4.0
1.54,4.53,-7.73,-0.88,-0.45,-0.67,4.0
3.02,5.32,-9.61,3.73,2.13,2.67,4.0
-1.11,6.99,-6.47,-0.07,-0.95,-0.02,4.0
1.59,4.32,-8.58,0.21,-0.03,0.17,4.0
-3.81,7.76,-4.51,0.0,0.01,-0.01,4.0
-4.29,-5.34,-9.02,-0.58,2.29,2.45,4.0
-0.42,3.48,-9.66,-0.12,-0.23,-0.13,4.0
1.14,4.92,-8.2,0.0,0.01,-0.01,4.0
1.07,4.94,-8.22,0.0,0.01,-0.01,4.0
1.02,4.97,-8.22,0.0,0.01,-0.01,4.0
-0.06,4.34,-8.37,-0.51,0.57,0.31,4.0
1.11,5.68,-7.75,0.0,0.01,-0.01,4.0
1.26,5.5,-6.71,0.66,-1.1,-0.28,4.0
-6.27,0.85,-5.64,-0.8,-0.07,0.48,4.0
-0.69,-1.72,-9.88,-0.2,0.19,0.08,4.0
-1.46,1.51,-9.35,0.2,0.07,-0.03,4.0
-6.83,-1.23,-6.71,0.0,0.02,-0.01,4.0
-1.41,-2.01,-9.73,-0.21,-0.8,0.5,4.0
-4.19,-2.78,-9.11,-0.15,0.91,-0.35,4.0
-5.37,-0.83,-7.78,0.05,0.01,-0.1,4.0
-1.98,-7.34,-6.09,0.0,0.01,-0.01,4.0
-3.51,-5.83,-6.85,0.01,0.01,-0.03,4.0
