AX,AY,AZ,GX,GY,GZ,Type
0.33,-0.31,-9.58,0,0.01,-0.01,2
0.28,-0.29,-9.59,0,0.01,-0.01,2
8.83,-2.33,-3.55,0.21,0.15,0.11,2
-0.49,2.03,-9.78,0.42,0.35,0.4,2
1.41,-0.78,-8.3,0.4,-0.49,1.51,2
3.01,-1.47,-8.91,0,0.41,-0.06,2
0.59,-0.7,-9.6,0.14,0.13,-0.01,2
0.03,1.11,-9.57,-0.02,0.02,-0.02,2
-0.67,0.75,-10.07,-0.34,-0.22,-1.97,2
1.76,-0.92,-10.83,1.59,0,0.06,2
3.13,-0.02,-9.02,-0.02,0.02,0.01,2
0.88,0.41,-9.56,0.01,0.03,-0.01,2
2.62,1.04,-9.15,-0.01,0,-0.01,2
2.59,1.44,-9.14,0,0,0,2
1.55,3.42,-8.56,0.12,0.22,0.6,2
1.26,3.91,-8.65,-0.05,0.05,0.03,2
-2.96,-4.96,-8.89,4.07,1.08,-0.49,2
-5.53,0.1,-8.24,-0.11,0.21,-0.1,2
-5.16,0.16,-8.14,0.01,-0.05,0,2
-2.02,2.32,-9.12,-0.03,0.05,0,2
-1.34,2.87,-7.38,-1.04,-0.02,0.83,2
1.91,2.37,-9.05,-0.14,-0.04,-0.08,2
1.58,0.49,-9.45,-0.02,0.06,-0.01,2
0.93,4.18,-8.54,0.52,0.07,-0.19,2
-0.6,2.49,-10.1,-1.19,2.03,-0.28,2
-3.55,-1.71,-10.42,-0.36,-0.15,0.23,2
0.58,-1.32,-9.58,-0.14,-0.09,0.05,2
-4.48,-1,-6.76,-0.41,-1.02,0.42,2
0.67,1.25,-8.46,0.39,-0.66,-0.37,2
-1.61,-1.33,-9.92,0.18,0.53,-0.46,2
1.83,-0.63,-9.24,0.12,-0.05,-0.01,2
3.06,0.75,-8.94,-0.32,0.22,0.02,2
-1.99,2.23,-9.16,-0.01,0.02,-0.01,2
1,-1.65,-9.36,-0.16,0.72,-0.07,2
1.64,-0.24,-10.45,0.28,0.06,-0.32,2
1.07,2.6,-9.14,-0.01,0,-0.09,2
1.19,3.87,-8.82,-0.62,0.39,-0.05,2
-0.03,3.07,-8.16,-0.15,-0.02,0.02,2
-1.66,1.41,-9.4,0.01,0.01,-0.01,2
-0.61,0.8,-9.62,0.47,-0.01,-0.07,2
-1.81,2.12,-9.23,0,0.02,-0.05,2
-2.4,1.18,-9.59,0.27,-0.05,-0.45,2
-8.01,3.83,-13.36,0.54,-1.09,0.37,2
-3.28,-0.53,-9.16,-0.01,-0.06,0.04,2
-3.09,0.24,-9.14,-0.13,-0.02,0.05,2
-1.34,2.04,-9.3,0.04,-0.02,-0.02,2
4.51,-3.39,-7.97,-0.99,0.36,-0.35,2
-0.85,-1.49,-9.61,-0.37,-0.14,-0.05,2
3,-2.53,-8.86,-0.14,-0.75,0.16,2
-2.28,1.99,-8.99,-0.01,0,-0.02,2
1.88,-0.93,-8.09,0.06,-0.42,-0.12,2
0.08,0.71,-9.06,0.86,1.24,-0.13,2
3.52,-2.09,-8.71,-0.26,0.08,-0.05,2
-0.42,0.64,-9.61,-0.13,-0.19,0.01,2
-0.88,1.42,-9.48,-0.09,-0.01,-0.02,2
3.03,-3.97,-8.14,0.04,0.01,0,2
1.14,0.84,-9.03,0.7,0.72,0.15,2
0.96,1.67,-8.94,0.82,0.26,0.12,2
3.78,-0.15,-8.84,0.02,0,0,2
0.11,2.1,-9.37,0,0.01,-0.01,2
-0.5,3.33,-9.21,0.01,0.04,0,2
-0.22,3.58,-8.93,-0.25,0.67,-0.02,2
0.7,1.4,-17.51,-1.25,-0.2,-0.05,2
5.42,0.01,-8.41,-0.3,0.1,-0.13,2
0.14,0.91,-9.47,0.29,-2.11,0.64,2
-0.45,-3.37,-9.05,0.12,-0.1,0.04,2
1.61,-4.37,-5.95,0,0.02,0.01,2
2.72,-5.84,-8.08,-0.42,-0.45,0.21,2
0.11,-1.94,-9.34,-0.27,0.38,-0.12,2
1.14,-3.63,-8.68,0.37,0.04,0.01,2
1.29,-4.19,-8.54,-0.14,-0.09,0.07,2
1.72,-3.1,-9.01,-0.43,-0.49,1.61,2
0.05,-5.54,-7.31,0.24,0.37,-0.22,2
2.29,-4.51,-8.15,-0.1,-0.03,0.04,2
4.27,-1.84,-8.41,-0.05,-0.02,0,2
4.03,-6.53,-7.3,-0.34,-0.93,0.55,2
7.79,-2.92,-4.98,0.02,0.03,-0.01,2
1.05,-2.42,-8.88,0.6,-0.81,0.13,2
2.42,-2.96,-8.56,-0.68,-0.49,0.11,2
5.19,-2.98,-7.52,-0.23,-0.02,-0.07,2
-2.05,-0.61,-8.85,-0.02,-0.1,0.05,2
0.08,0.13,-9.28,0.08,-0.03,-0.06,2
-9.59,1.24,-1.61,0,0.01,-0.01,1
-9.6,1.34,-1.55,-0.01,0.02,-0.01,1
-9.59,1.31,-1.51,0,0.01,-0.01,1
-9.56,1.4,-1.55,0,0.02,-0.01,1
-9.56,1.39,-1.55,0,0.02,-0.01,1
-9.58,1.36,-1.52,0,0.02,-0.01,1
-9.58,1.34,-1.49,0,0.01,-0.01,1
-9.56,1.41,-1.53,0,0.02,-0.01,1
-9.52,1.58,-1.52,0,0.02,0,1
-9.58,1.34,-1.48,0,0.01,-0.01,1
-9.6,1.35,-1.51,0,0.02,-0.01,1
-9.6,1.35,-1.5,0,0.01,-0.01,1
-9.57,1.39,-1.5,0,0.02,-0.01,1
-9.58,1.38,-1.51,0,0.02,-0.01,1
-9.59,1.36,-1.51,0,0.01,-0.01,1
-9.57,1.36,-1.49,0,0.02,-0.01,1
-9.56,1.39,-1.51,0,0.02,-0.01,1
-9.61,1.33,-1.47,0,0.01,-0.01,1
-9.57,1.39,-1.49,0,0.01,-0.01,1
-9.59,1.34,-1.49,0,0.01,-0.01,1
-9.58,1.39,-1.49,0,0.02,-0.01,1
-9.56,1.39,-1.5,0,0.01,-0.01,1
-9.59,1.37,-1.5,0,0.01,-0.01,1
-9.57,1.38,-1.5,0,0.02,-0.01,1
-9.58,1.39,-1.49,0,0.02,-0.01,1
-9.55,1.51,-1.42,0,0.01,-0.01,1
-9.59,1.49,-1.37,0,0.01,-0.01,1
-9.56,1.56,-1.41,0,0.01,-0.01,1
-9.58,1.51,-1.37,0,0.01,-0.01,1
-9.56,1.56,-1.39,0,0.01,-0.01,1
-9.57,1.57,-1.42,0,0.01,-0.01,1
-9.57,1.5,-1.42,0,0.02,-0.01,1
-9.53,1.57,-1.44,0,0.01,-0.01,1
-9.41,2.18,-1.6,0,0.01,-0.01,1
-9.41,2.23,-1.59,0,0.01,-0.01,1
-9.42,2.23,-1.56,-0.01,0.02,-0.01,1
-9.41,2.19,-1.57,0,0.02,-0.01,1
-9.41,2.25,-1.57,0,0.01,-0.01,1
-9.4,2.25,-1.56,0,0.01,-0.01,1
-9.42,2.23,-1.55,0,0.01,-0.01,1
-9.42,2.2,-1.55,-0.01,0.02,-0.01,1
-9.43,2.21,-1.54,0,0.01,-0.01,1
-9.4,2.23,-1.57,0,0.02,-0.01,1
-9.39,2.23,-1.58,0,0.01,-0.01,1
-9.39,2.27,-1.58,0,0.02,-0.01,1
-9.39,2.21,-1.56,0,0.01,-0.01,1
-9.41,2.24,-1.58,0,0.01,-0.01,1
-9.41,2.21,-1.55,0,0.01,-0.01,1
-9.42,2.17,-1.54,0,0.02,-0.01,1
-9.42,2.24,-1.56,0,0.01,-0.01,1
-9.4,2.23,-1.55,0,0.02,-0.01,1
-9.41,2.18,-1.55,0,0.02,-0.01,1
-9.42,2.2,-1.56,0,0.02,-0.01,1
-9.42,2.2,-1.56,0,0.01,-0.01,1
-9.38,2.2,-1.52,-0.01,0.02,-0.01,1
-9.43,2.21,-1.57,0,0.01,-0.01,1
-9.41,2.21,-1.55,0,0.01,-0.01,1
-9.39,2.27,-1.56,0,0.02,-0.01,1
-9.4,2.2,-1.54,0,0.02,-0.01,1
-9.43,2.19,-1.53,-0.01,0.02,-0.01,1
-9.42,2.22,-1.54,0,0.02,-0.01,1
-9.38,2.26,-1.53,0,0.02,-0.01,1
-9.39,2.21,-1.53,0,0.02,-0.01,1
-9.4,2.24,-1.52,-0.01,0.02,-0.01,1
-9.41,2.21,-1.53,-0.01,0.02,-0.01,1
-9.4,2.23,-1.54,0,0.01,-0.01,1
-9.41,2.24,-1.53,-0.01,0.02,-0.01,1
-9.4,2.24,-1.51,0,0.02,-0.01,1
-9.4,2.24,-1.52,0,0.01,-0.01,1
-9.4,2.25,-1.52,0,0.02,-0.01,1
-9.42,2.23,-1.51,0,0.01,-0.01,1
-9.4,2.23,-1.51,0,0.01,-0.01,1
-9.41,2.26,-1.54,0,0.02,-0.01,1
-9.41,2.22,-1.51,-0.01,0.02,-0.01,1
-9.39,2.24,-1.52,0,0.01,-0.01,1
-9.41,2.27,-1.51,-0.01,0.02,-0.01,1
-9.39,2.26,-1.52,0,0.01,-0.01,1
-9.42,2.24,-1.51,0,0.02,-0.01,1
-9.39,2.3,-1.54,0,0.01,-0.01,1
-9.4,2.24,-1.52,0,0.01,-0.01,1
-9.4,2.23,-1.5,0,0.01,-0.01,1
-9.42,2.27,-1.52,0,0.02,-0.01,1
-9.38,2.3,-1.51,0,0.01,-0.01,1
-9.41,2.27,-1.53,0,0.01,-0.01,1
-9.38,2.27,-1.51,-0.01,0.01,-0.01,1
-9.41,2.24,-1.52,0,0.02,-0.01,1
-9.39,2.27,-1.51,0,0.02,-0.01,1
-9.39,2.28,-1.51,0,0.02,-0.01,1
-9.44,2.22,-1.49,0,0.01,-0.01,1
-9.43,2.25,-1.45,0,0.02,-0.01,1
-9.41,2.32,-1.44,0,0.01,-0.01,1
-9.43,2.29,-1.45,0,0.01,-0.01,1
-9.42,2.29,-1.45,0,0.01,-0.01,1
-9.41,2.29,-1.45,0,0.02,-0.01,1
-9.43,2.28,-1.46,-0.01,0.02,-0.01,1
-9.42,2.24,-1.46,0,0.02,-0.01,1
-9.41,2.26,-1.44,0,0.02,-0.01,1
-9.43,2.29,-1.45,-0.01,0.02,-0.01,1
-9.44,2.29,-1.43,0,0.01,-0.01,1
-9.44,2.24,-1.42,0,0.01,-0.01,1
-9.39,2.32,-1.46,0,0.01,-0.01,1
-9.41,2.29,-1.46,0,0.02,-0.01,1
-9.41,2.31,-1.45,0,0.01,-0.01,1
-9.41,2.3,-1.45,0,0.02,-0.01,1
-9.42,2.29,-1.45,0,0.01,-0.01,1
-9.43,2.26,-1.44,-0.01,0.02,-0.01,1
-9.42,2.32,-1.47,0,0.02,-0.01,1
-9.41,2.26,-1.43,-0.01,0.02,-0.01,1
-9.42,2.3,-1.46,0,0.02,-0.01,1
-9.44,2.28,-1.45,0,0.01,-0.01,1
-9.39,2.32,-1.46,0,0.01,-0.01,1
-9.41,2.27,-1.45,0,0.02,-0.01,1
