AX,AY,AZ,GX,GY,GZ,Type
2.8,1.69,-9.06,0.0,0.01,-0.01,3.0
2.82,1.69,-9.05,0.0,0.01,-0.01,3.0
-9.47,2.16,-1.32,0.0,0.01,-0.01,1.0
2.82,1.69,-9.06,0.0,0.01,-0.01,3.0
2.84,1.69,-9.05,0.0,0.01,-0.01,3.0
-0.23,6.58,-7.09,0.0,0.01,-0.01,4.0
-3.81,-1.25,-8.77,0.0,0.01,-0.01,4.0
2.82,1.71,-9.06,0.0,0.01,-0.01,3.0
-0.95,4.8,-8.31,-0.01,0.02,-0.01,0.0
2.81,1.68,-9.06,0.0,0.01,-0.01,3.0
2.8,1.7,-9.04,0.0,0.01,-0.01,3.0
2.82,1.69,-9.05,0.0,0.01,-0.01,3.0
-9.45,2.15,-1.34,0.0,0.02,-0.01,1.0
-3.78,-1.15,-8.7,0.0,0.02,-0.01,4.0
-3.54,-1.32,-8.78,-0.05,0.03,-0.01,4.0
-1.92,7.37,-6.05,0.0,0.01,-0.01,4.0
-0.98,4.8,-8.3,0.0,0.02,-0.01,0.0
-5.86,3.26,-6.99,0.0,0.02,-0.01,1.0
-3.94,5.86,-2.98,-0.71,0.03,-0.15,4.0
2.82,1.67,-9.03,0.0,0.01,-0.01,3.0
2.82,1.69,-9.04,0.0,0.01,-0.01,3.0
2.82,1.68,-9.05,0.0,0.01,-0.01,3.0
-9.48,2.11,-1.28,-0.01,0.01,-0.01,1.0
-9.4,2.36,-1.43,0.0,0.02,-0.01,1.0
2.81,1.69,-9.06,0.0,0.01,-0.01,3.0
0.27,2.38,-9.21,0.02,-0.04,0.0,0.0
2.82,1.7,-9.01,0.0,0.01,-0.01,3.0
